qz	intensity_normalized	e_intensity_normalized	intensity_fit
0.17024198383799824	1.8142368870356914e-05	1.8981893510612868e-06	1.8172735645688146e-05
0.18023220764676656	1.1523893610844402e-05	1.220509852121719e-06	1.1416913986668014e-05
0.18023332613504991	1.0177817973191706e-05	1.2401563475358618e-06	1.1416296971774544e-05
0.19025784221125308	6.946321200542978e-06	7.4909397039285e-07	6.884007777936667e-06
0.20026956684832314	4.126271049039675e-06	4.5696243723343856e-07	3.9484312715333705e-06
0.21028432421806884	2.195485385090992e-06	2.52726635274999e-07	2.126959249857797e-06
0.22030430735591422	1.1460763509405133e-06	1.4076287208333e-07	1.073069715079916e-06
0.2303165349499354	5.527177748782779e-07	7.627282545034492e-08	5.342511880496809e-07
0.23033826430920545	5.17132238019523e-07	5.554520694486272e-08	5.33496737710164e-07
0.24032474326959166	3.132486887771859e-07	4.93548634990747e-08	3.254603984585054e-07
0.24032488278582073	3.205377007681671e-07	3.538217272553685e-08	3.254591229510251e-07
0.2503342696817111	3.1907178894864946e-07	4.960243588341539e-08	3.1458624103458497e-07
0.2503463243168842	3.260428399099786e-07	3.5952806798387166e-08	3.146519310679822e-07
0.2603647078931435	4.2374403173485695e-07	4.5978574556702804e-08	4.093030068686539e-07
0.27039441729768676	5.550859466800177e-07	5.942093821134185e-08	5.46403464031977e-07
0.280392425785229	7.018273927306421e-07	7.439253090075698e-08	6.844874492951364e-07
0.29041357596561396	8.13077702378851e-07	8.572830503430145e-08	7.99952400983679e-07
0.3004184711403417	8.880008052584676e-07	9.336292304417196e-08	8.79915935701973e-07
0.3104394553575829	8.988078636247282e-07	9.448550596075717e-08	9.205658349859979e-07
0.3204680520429858	9.026145489309763e-07	9.485253207528276e-08	9.232426054233555e-07
0.3304623820616667	8.678706877246849e-07	9.130600081223399e-08	8.93017135921239e-07
0.3404940237179601	7.996069230648748e-07	8.434094328531424e-08	8.364264532731588e-07
0.35049843767366634	7.263455785444701e-07	7.688003305507638e-08	7.611697624213009e-07
0.36052587835390126	6.462095196488737e-07	6.869874462340719e-08	6.740769821814056e-07
0.3705245323290544	5.507972408671675e-07	5.89713547709123e-08	5.820334874580624e-07
0.3805544429448645	4.7017104789137546e-07	5.073688766055767e-08	4.898811772114606e-07
0.3905684773120528	3.802538585169711e-07	4.159145593518168e-08	4.0225438196082563e-07
0.40058918388147097	3.0644748838587284e-07	3.407087500479561e-08	3.2196049179252975e-07
0.41060359260843693	2.4555169715699876e-07	2.7881093613345024e-08	2.5100472106522877e-07
0.4206136031361056	1.759537627241764e-07	2.0777243747281384e-08	1.902971223450928e-07
0.43063182702290353	1.4009290885873208e-07	1.708435264892339e-08	1.399200666585223e-07
0.44062933377014646	9.559869582329378e-08	1.2453694772229857e-08	9.955272195067843e-08
0.45065825150933114	6.72082912371129e-08	9.457684542908733e-09	6.812788593824346e-08
0.46066463904585897	4.794089650957994e-08	7.425992631628974e-09	4.469379872638185e-08
0.47069100975723166	3.1359224944796095e-08	5.693975865396866e-09	2.788617072767892e-08
0.4807049639886216	1.7384880057606957e-08	4.256446271820992e-09	1.6491193625481505e-08
0.49071375463629374	1.1695726356075015e-08	3.6386273788136987e-09	9.278802503277883e-09
0.5007316256401254	4.828525228844314e-09	2.874003533286018e-09	5.155067006334299e-09
0.5207688451190655	2.125398815160485e-09	1.614514362745428e-09	2.6415799738150434e-09
0.5407944125895318	4.893997019889929e-09	1.8382220588324327e-09	3.5201951479383504e-09
0.5608013839844164	4.328838448250238e-09	1.7595031282004597e-09	4.79006727482039e-09
0.5808500139855857	4.7861883537016195e-09	1.80182071448647e-09	5.261392306485198e-09
